Time, RPM
71.463, 2000
71.483, 2000
71.503, 1942.86
71.523, 1880
71.543, 1880
71.563, 1822.86
71.583, 1760
71.603, 1760
71.623, 1702.86
71.643, 1702.86
71.663, 1645.71
71.683, 1582.86
71.703, 1582.86
71.723, 1531.43
71.743, 1474.29
71.763, 1474.29
71.783, 1417.14
71.803, 1360
71.823, 1360
71.843, 1308.57
71.863, 1308.57
71.883, 1251.43
71.903, 1200
71.923, 1200
71.943, 1154.29
71.963, 1097.14
71.983, 1097.14
72.003, 1045.71
72.023, 1000
72.043, 1000
72.063, 948.572
72.083, 897.143
72.103, 897.143
72.123, 851.429
72.143, 851.429
72.163, 805.714
72.183, 754.286
72.203, 754.286
72.223, 714.286
72.243, 668.572
72.263, 668.572
72.283, 628.572
72.303, 582.857
72.323, 582.857
72.343, 542.857
72.363, 542.857
72.383, 502.857
72.403, 468.572
72.423, 468.572
72.443, 428.572
72.463, 388.572
72.483, 388.572
72.503, 354.286
72.523, 320
72.543, 320
72.563, 285.714
72.583, 257.143
72.603, 257.143
72.623, 228.571
72.643, 228.571
72.663, 194.286
72.683, 165.714
72.703, 165.714
72.723, 142.857
72.743, 120
72.763, 120
72.783, 91.4286
72.803, 68.5714
72.823, 68.5714
72.843, 45.7143
72.863, 45.7143
72.883, 28.5714
72.903, 17.1429
72.923, 17.1429
72.943, 11.4286
72.963, 0
72.983, 0
73.003, -5.71429
73.023, -5.71429
73.043, -5.71429
73.063, 0
73.083, 0
73.103, 0
73.123, 0
73.143, 0
73.163, 0
73.183, 0
73.203, 0
73.223, 0
73.243, 0
73.263, 0
73.283, 0
73.303, 0
73.323, 0
73.343, 0
73.363, 0
73.383, 0
73.403, 0
73.423, 0
73.443, 0
73.463, 0
73.483, 0
73.503, 0
73.523, 0
73.543, 0
73.563, 0
73.583, 0
73.603, 0
73.623, 0
73.643, 0
73.663, 0
73.683, 0
73.703, 0
73.723, 0
73.743, 0
73.763, 0
73.783, 0
73.803, 0
73.823, 0
73.843, 0
73.863, 0
73.883, 0
73.903, 0
73.923, 0
73.943, 0
